Word	Occurrences	Reference
a                   	449
A                   	32
'a                  	1	MRK 14:67
aa                  	362
Aa                  	26
aadeula             	1	MAT 6:6
aaea                	1	ACT 28:23
aage                	1	2CO 2:10
aai                 	13
aaiata              	1	MAT 15:4
aaihaniteu          	1	MRK 16:18
aakalevale          	1	TIT 1:5
aalau               	1	MRK 5:7
aasite              	1	JHN 1:3
aau                 	17
aaukitaeabe         	1	MRK 12:36
aavage              	1	GAL 6:1
aave                	1	MAT 15:10
aavoluvita          	1	REV 20:6
ab                  	1	MAT 15:9
aba                 	23
Aba                 	1	1TI 5:22
abadoni             	1	REV 9:11
Abalaham            	1	MAT 8:11
abata               	19
abatake             	1	MRK 15:46
abatale             	6
abatau              	4
abavu               	1	MAT 27:7
abavuale            	8
abavualeala         	1	ACT 5:9
abavue              	2
abavuevelu          	2
abavuge             	7
abavugelivelu       	1	REV 11:8
Abavugelivelu       	1	REV 11:9
abavugelu           	1	LUK 11:44
abavugeva           	1	ACT 7:16
abavugevale         	1	MAT 27:52
abavui              	11
abavuito            	1	LUK 9:59
abavuitoba          	1	MAT 8:21
abavulivelu         	4
abavulu             	12
abavuve             	2
abe                 	15
abela               	1	1CO 5:13
Abela               	1	HEB 5:12
Abelabo             	1	ACT 24:19
abelau              	2
abele               	1	1CO 5:2
abeu                	1	2TH 3:2
abevaeviva          	1	MAT 16:6
Abia                	1	PHM 1:2
Abiada              	1	LUK 1:5
abiagela            	1	2PE 3:15
abiageu             	4
Abiatau             	1	MRK 2:26
abidia              	2
Abiesie             	1	ACT 28:15
abilavelakeu        	1	MAT 6:6
Abiliatasi          	1	ROM 16:8
Abilini             	1	LUK 3:1
abitole             	1	LUK 16:5
abiuda              	1	MAT 1:13
Abiuda              	1	MAT 1:13
ablela              	1	REV 2:29
abo                 	1477
Abo                 	161
ABO                 	3
aboage              	1	MAT 9:10
aboagisi            	1	MAT 8:28
aboalogoto          	1	MAT 13:14
aboba               	13
abobiga             	50
